name,price,brand,prod_url,img_url
Union Atlas 2021,"669,95",Union,/de-DE/product/Union-Atlas+2021+Snowboardbindung-618605/,//images.blue-tomato.com/is/image/bluetomato/304342333_front.jpg-HhIR7C3diFALdK6cAnx7JwesLL4/Burton+Driver+X+2021+Snowboardboots.jpg?$b1$
Jones Snowboards Mountain Snowskate,"14,95",Jones Snowboards,/de-DE/product/Jones+Snowboards-Mountain+Snowskate+Pow+Surfer-629273/,//images.blue-tomato.com/is/image/bluetomato/304300460_front.jpg-2_VsES8Ep7wjhr2Cvm2QdIUYVWU/Union+Legacy+2021+Snowboardbindung.jpg?$b1$
Salomon Pearl Boa Snowboard Boots 2021,"199,95",Salomon,/de-DE/product/Salomon-Pearl+Boa+Snowboard+Boots+2021-630767/,//images.blue-tomato.com/is/image/bluetomato/304342516_front.jpg-8SGGHKzacWp6WVK-nkMuCWdhu_Y/Burton+Photon+Boa+2021+Snowboardboots.jpg?$b1$
Capita Super D.O.A. 156 2021 Snowboard,"389,95",Capita,/de-DE/product/Capita-Super+DOA+156+2021+Snowboard-618442/,//images.blue-tomato.com/is/image/bluetomato/304378353_front.jpg-8k0w0NpYQCwvY5BR5Pw7kYJuDHc/Salomon+Kiana+Dual+Boa+Snowboard+Boots+2021.jpg?$b1$
Volcom Stone Studs Stomp Pad,"229,95",Volcom,/de-DE/product/Volcom-Stone+Studs+Stomp+Pad-620253/,//images.blue-tomato.com/is/image/bluetomato/304360290_front.jpg-iygIcrxMjXyVbG6reM4yG_cGLaw/K2+Phase+Pro+Helm.jpg?$b1$
Dragon PXV Midnight (+Bonus Lens) Goggle,"359,95",Dragon,/de-DE/product/Dragon-PXV+Midnight+Bonus+Lens+Goggle-627700/,//images.blue-tomato.com/is/image/bluetomato/304300397_front.jpg-5XQnRTzNZdanJRfrAx81gN27LGo/Union+Strata+2021+Snowboardbindung.jpg?$b1$
Burton Driver X 2021,"339,95",Burton,/de-DE/product/Burton-Driver+X+2021+Snowboardboots-622756/,//images.blue-tomato.com/is/image/bluetomato/304300166_front.jpg-3brhmEKwoLCQp4P-okcBpiKYCnU/Capita+Super+DOA+Wide+155W+2021+Snowboard.jpg?$b1$
Salomon Faction Boa Snowboard Boots 2021,"99,95",Salomon,/de-DE/product/Salomon-Faction+Boa+Snowboard+Boots+2021-630673/,//images.blue-tomato.com/is/image/bluetomato/302301250_front.jpg-ZR46rJpf37m8F52FMZBFEu12YZ8/Smith+Holt+2+Helm.jpg?$b1$
Burton Photon Boa 2021,"249,95",Burton,/de-DE/product/Burton-Photon+Boa+2021+Snowboardboots-622764/,//images.blue-tomato.com/is/image/bluetomato/304300169_front.jpg-KEdpT4mzFzpeVXXkwHsMcN8sFjE/Capita+Mercury+159+2021+Snowboard.jpg?$b1$
Burton Imperial Snowboard Boots,"669,95",Burton,/de-DE/product/Burton-Imperial+Snowboard+Boots-566983/,//images.blue-tomato.com/is/image/bluetomato/304300432_front.jpg-9XMWLw6G3sObOVyGUqGfxP1bTwY/Union+Expedition+Splitboard+Bindung+2021.jpg?$b1$
K2 Phase Pro Helmet,"99,95",K2,/de-DE/product/K2-Phase+Pro+Helm-625218/,//images.blue-tomato.com/is/image/bluetomato/304380869_front.jpg-eR2EHUS5hZ180xUlV2X2DHYSCMY/Burton+Step+On+2020+Snowboardbindung.jpg?$b1$
Nitro Futura TLS 2021,"569,95",Nitro,/de-DE/product/Nitro-Futura+TLS+2021+Snowboardboots-620705/,//images.blue-tomato.com/is/image/bluetomato/304375216_front.jpg-KOS6BhXMRchKBmopR9VCloAhNV4/Jones+Snowboards+Apollo+Snowboard+Bindung+2021.jpg?$b1$
Capita Super DOA Wide 155W 2021,"139,95",Capita,/de-DE/product/Capita-Super+DOA+Wide+155W+2021+Snowboard-618447/,//images.blue-tomato.com/is/image/bluetomato/304375522_front.jpg-Y7LGK2C3yMvD_hm1S8hUZoMA4lQ/Nidecker+Play+152+Snowboard+2021.jpg?$b1$
